File: goja.test
Build ID: d78a0faa7df9923b954d3f38003009d269644754
Type: cpu
Time: 2026-02-18 15:07:49 EST
Duration: 21.14s, Total samples = 24.70s (116.86%)
Showing nodes accounting for -1.74s, 7.04% of 24.70s total
Dropped 9 nodes (cum <= 0.12s)
      flat  flat%   sum%        cum   cum%
         0     0%  7.04%      0.01s  0.04%  runtime.netpoll
         0     0%  7.04%      0.01s  0.04%  runtime.newArenaMayUnlock
         0     0%  7.04%      0.01s  0.04%  runtime.newMarkBits
         0     0%  7.04%     -0.01s  0.04%  runtime.newstack
         0     0%  7.04%     -0.05s   0.2%  runtime.notesleep
         0     0%  7.04%     -0.02s 0.081%  runtime.notewakeup
         0     0%  7.04%     -0.01s  0.04%  runtime.park_m
         0     0%  7.04%     -0.01s  0.04%  runtime.pidleget
         0     0%  7.04%     -0.01s  0.04%  runtime.pidlegetSpinning
         0     0%  7.04%      0.03s  0.12%  runtime.profilealloc
         0     0%  7.04%      0.01s  0.04%  runtime.setprofilebucket
         0     0%  7.04%     -0.04s  0.16%  runtime.slicebytetostring
         0     0%  7.04%     -0.02s 0.081%  runtime.startm
         0     0%  7.04%     -0.05s   0.2%  runtime.stopm
         0     0%  7.04%     -0.01s  0.04%  runtime.suspendG
         0     0%  7.04%     -0.01s  0.04%  runtime.sysMap
         0     0%  7.04%     -0.01s  0.04%  runtime.sysMapOS
         0     0%  7.04%     -1.42s  5.75%  runtime.systemstack
         0     0%  7.04%     -0.04s  0.16%  runtime.tracebackPCs
         0     0%  7.04%     -0.01s  0.04%  runtime.typedslicecopy
         0     0%  7.04%      0.01s  0.04%  runtime.typehash
         0     0%  7.04%     -0.02s 0.081%  runtime.wakep
         0     0%  7.04%      0.03s  0.12%  runtime.wbBufFlush
         0     0%  7.04%      0.03s  0.12%  runtime.wbBufFlush.func1
         0     0%  7.04%      0.08s  0.32%  testing.(*B).launch
         0     0%  7.04%     -0.08s  0.32%  testing.(*B).run1.func1
