File: goja.test
Build ID: d78a0faa7df9923b954d3f38003009d269644754
Type: cpu
Time: 2026-02-18 15:07:49 EST
Duration: 21.14s, Total samples = 24700ms (116.86%)
Showing nodes accounting for 0, 6.5e-07% of 24700ms total
      flat  flat%   sum%        cum   cum%
         0     0% 6.5e-07%      -10ms  0.04%  runtime.(*unwinder).symPC
         0     0% 6.5e-07%    16.57ms 0.067%  runtime.FuncForPC
         0     0% 6.5e-07%   -72.70ms  0.29%  runtime.GC
         0     0% 6.5e-07%   -35.62ms  0.14%  runtime.SetFinalizer.func2
         0     0% 6.5e-07%    12.92ms 0.052%  runtime._System
         0     0% 6.5e-07%    10.73ms 0.043%  runtime.atomicwb
         0     0% 6.5e-07%   -48.11ms  0.19%  runtime.bgsweep
         0     0% 6.5e-07%   -41.24ms  0.17%  runtime.callers
         0     0% 6.5e-07%   -41.24ms  0.17%  runtime.callers.func1
         0     0% 6.5e-07%    25.84ms   0.1%  runtime.concatstring2
         0     0% 6.5e-07%    10.73ms 0.043%  runtime.forEachPInternal
         0     0% 6.5e-07%   -49.27ms   0.2%  runtime.futexsleep
         0     0% 6.5e-07%   -19.27ms 0.078%  runtime.futexwakeup
         0     0% 6.5e-07%    -5.62ms 0.023%  runtime.gcAssistAlloc.func2
         0     0% 6.5e-07%    -5.62ms 0.023%  runtime.gcAssistAlloc1
         0     0% 6.5e-07%  -448.58ms  1.82%  runtime.gcBgMarkWorker
         0     0% 6.5e-07%  -449.30ms  1.82%  runtime.gcBgMarkWorker.func2
         0     0% 6.5e-07%    -5.62ms 0.023%  runtime.gcDrainN
         0     0% 6.5e-07%    10.73ms 0.043%  runtime.gcMarkDone
         0     0% 6.5e-07%    10.73ms 0.043%  runtime.gcMarkTermination
         0     0% 6.5e-07%    10.73ms 0.043%  runtime.gcMarkTermination.forEachP.func6
         0     0% 6.5e-07%    10.73ms 0.043%  runtime.gcMarkTermination.func4
         0     0% 6.5e-07%   -81.24ms  0.33%  runtime.gosched_m
         0     0% 6.5e-07%    10.73ms 0.043%  runtime.handoff
         0     0% 6.5e-07%    39.49ms  0.16%  runtime.mProf_Malloc
         0     0% 6.5e-07%    10.73ms 0.043%  runtime.mProf_Malloc.func1
         0     0% 6.5e-07%    20.36ms 0.082%  runtime.markroot
         0     0% 6.5e-07%      -10ms  0.04%  runtime.markroot.func1
         0     0% 6.5e-07%   -90.51ms  0.37%  runtime.mcall
         0     0% 6.5e-07%      -10ms  0.04%  runtime.morestack
         0     0% 6.5e-07%    10.73ms 0.043%  runtime.mput
         0     0% 6.5e-07%    10.73ms 0.043%  runtime.netpoll
         0     0% 6.5e-07%    10.73ms 0.043%  runtime.newArenaMayUnlock
         0     0% 6.5e-07%      -10ms  0.04%  runtime.newstack
         0     0% 6.5e-07%   -49.27ms   0.2%  runtime.notesleep
         0     0% 6.5e-07%   -19.27ms 0.078%  runtime.notewakeup
         0     0% 6.5e-07%    -9.27ms 0.038%  runtime.park_m
         0     0% 6.5e-07%     0.73ms 0.003%  runtime.persistentalloc
         0     0% 6.5e-07%     0.73ms 0.003%  runtime.persistentalloc.func1
         0     0% 6.5e-07%      -10ms  0.04%  runtime.pidleget
         0     0% 6.5e-07%      -10ms  0.04%  runtime.pidlegetSpinning
         0     0% 6.5e-07%    39.49ms  0.16%  runtime.profilealloc
         0     0% 6.5e-07%    10.73ms 0.043%  runtime.setprofilebucket
         0     0% 6.5e-07%   -37.81ms  0.15%  runtime.slicebytetostring
         0     0% 6.5e-07%   -19.27ms 0.078%  runtime.startm
         0     0% 6.5e-07%   -48.54ms   0.2%  runtime.stopm
         0     0% 6.5e-07%      -10ms  0.04%  runtime.suspendG
         0     0% 6.5e-07%     0.73ms 0.003%  runtime.sysAlloc
         0     0% 6.5e-07%     0.73ms 0.003%  runtime.sysAllocOS
         0     0% 6.5e-07%      -10ms  0.04%  runtime.sysMap
         0     0% 6.5e-07%      -10ms  0.04%  runtime.sysMapOS
         0     0% 6.5e-07%     0.73ms 0.003%  runtime.typedmemmove
         0     0% 6.5e-07%    -8.54ms 0.035%  runtime.typedslicecopy
         0     0% 6.5e-07%    10.73ms 0.043%  runtime.typehash
         0     0% 6.5e-07%   -18.54ms 0.075%  runtime.wakep
         0     0% 6.5e-07%    41.68ms  0.17%  runtime.wbBufFlush
         0     0% 6.5e-07%    41.68ms  0.17%  runtime.wbBufFlush.func1
         0     0% 6.5e-07%   676.98ms  2.74%  testing.(*B).launch
         0     0% 6.5e-07%   -72.70ms  0.29%  testing.(*B).run1.func1
         0     0% 6.5e-07%   604.27ms  2.45%  testing.(*B).runN
